,carpark_number,lot_type,lots_available,total_lots,update_datetime
0,W21,C,169,553,2019-12-08T01:32:15
0,W24,C,140,557,2019-12-08T01:32:26
0,M25,C,183,417,2019-12-08T01:32:36
0,M3,C,0,122,2019-12-08T01:32:41
0,M4,C,135,453,2019-12-08T01:32:38
0,MM1,C,93,177,2019-12-08T01:32:41
0,MM2,C,0,362,2019-12-08T01:32:36
0,MM4,C,215,285,2019-12-08T01:32:41
0,UA2,C,0,68,2019-12-08T01:32:43
0,UA3,C,103,240,2019-12-08T01:32:33
0,UA5,C,158,334,2019-12-08T01:31:49
0,UAM1,C,37,455,2019-12-08T01:32:43
0,JM31,C,69,180,2019-12-08T01:33:13
